avgTricks,S_TotalPoints,W_TotalPoints,N_TotalPoints,E_TotalPoints,S_unprot,W_unprot,N_unprot,E_unprot,S_pos,W_pos,N_pos,E_pos,S_Len_Trump,W_Len_Trump,N_Len_Trump,E_Len_Trump,S_Ace_Rat,W_Ace_Rat,N_Ace_Rat,E_Ace_Rat,trump
9,1,1,1,1,,J,,,FALSE,TRUE,TRUE,FALSE,5,2,4,2,0,0,0,0,S
9,1,1,1,1,,J,,,FALSE,TRUE,TRUE,FALSE,5,2,4,2,0,0,0,0,S
10,1,1,0,2,J,J,,,FALSE,FALSE,TRUE,TRUE,2,7,2,2,0,0,1,0,S
11,0,2,0,3,J,,,Q,TRUE,FALSE,TRUE,FALSE,3,4,3,3,0,0,0,0,C
10,1,2,1,1,J,J,,,TRUE,TRUE,FALSE,FALSE,1,5,1,6,0,0,0,0,S
11,1,2,1,1,J,J,,,TRUE,TRUE,FALSE,FALSE,1,5,1,6,0,0,0,0,S
7,3,0,0,2,J,,J,JQ,FALSE,FALSE,TRUE,TRUE,1,3,4,5,0,0,0,0,H
8,3,1,0,1,K,J,Q,,FALSE,FALSE,TRUE,TRUE,4,3,5,1,0,0,0,0,S
11,3,1,0,2,K,J,Q,,FALSE,FALSE,TRUE,TRUE,1,6,3,3,0,0,0,0,D
12,1,1,2,1,JQ,Q,,,FALSE,TRUE,TRUE,TRUE,3,2,6,2,0,0,0,1,H
11,1,2,1,1,,,JJ,J,TRUE,FALSE,FALSE,FALSE,2,5,3,3,0,0,0,0,H
8,1,2,1,1,,,JJ,J,TRUE,FALSE,FALSE,FALSE,2,5,3,3,0,0,0,0,H
10,3,0,2,0,JQ,,,,FALSE,TRUE,FALSE,TRUE,6,0,3,4,0,0,0,0,S
11,3,0,2,0,JQ,,,,FALSE,TRUE,FALSE,TRUE,6,0,3,4,0,0,0,0,S
10,1,1,1,2,J,,J,J,TRUE,FALSE,TRUE,FALSE,2,4,2,5,0,0,1,0,S
9,1,1,1,2,,Q,J,,TRUE,FALSE,TRUE,FALSE,4,3,1,5,0,0,0,0,S
10,2,2,0,1,J,,,,TRUE,FALSE,FALSE,TRUE,2,4,3,4,0,0,0,0,S
12,2,1,2,1,Q,,,,FALSE,TRUE,FALSE,TRUE,4,1,7,1,0,0,0,0,H
7,0,1,1,2,,,JJ,,TRUE,TRUE,TRUE,FALSE,3,4,2,4,0,1,0,0,S
9,1,2,1,1,,Q,QJ,,TRUE,FALSE,TRUE,FALSE,3,4,2,4,1,0,0,0,S
7,1,1,2,2,,,JJ,,FALSE,TRUE,TRUE,FALSE,4,1,5,3,0,0,0,0,D
10,1,1,0,3,,J,,J,FALSE,FALSE,TRUE,FALSE,1,5,4,3,0,0,0,0,S
12,3,1,1,0,,,J,,FALSE,FALSE,FALSE,TRUE,1,2,7,3,0,0,0,0,C
9,3,1,0,2,,,J,,FALSE,FALSE,TRUE,TRUE,5,0,4,4,0,0,0,0,S
12,1,2,1,1,,QJ,J,,TRUE,FALSE,FALSE,TRUE,2,3,1,7,0,0,0,0,D
11,1,1,3,2,,,J,,FALSE,TRUE,TRUE,FALSE,6,3,4,0,0,0,0,0,D
11,1,1,3,2,,,J,,FALSE,TRUE,TRUE,FALSE,2,5,2,4,0,0,0,0,H
9,1,1,3,2,,,J,,FALSE,TRUE,TRUE,FALSE,6,3,4,0,0,0,0,0,D
11,1,1,3,2,,,J,,FALSE,TRUE,TRUE,FALSE,2,5,2,4,0,0,0,0,H
8,1,1,1,2,,Q,,,FALSE,FALSE,TRUE,TRUE,4,2,2,5,0,0,0,0,H
11,1,0,3,1,,,,,FALSE,TRUE,TRUE,TRUE,2,3,6,2,1,0,0,0,S
10,3,0,1,1,,,,J,FALSE,FALSE,FALSE,TRUE,6,5,1,1,0,0,0,0,H
12,2,0,3,0,QJ,,,J,FALSE,TRUE,FALSE,TRUE,5,3,2,3,0,0,0,0,D
13,1,2,1,2,,J,Q,,TRUE,FALSE,FALSE,FALSE,1,3,1,8,0,0,0,1,D
8,1,2,1,2,,J,Q,,TRUE,FALSE,FALSE,FALSE,7,2,2,2,0,0,0,1,H
12,1,2,1,2,,J,Q,,TRUE,FALSE,FALSE,FALSE,1,3,1,8,0,0,0,1,D
13,1,2,1,2,,J,Q,,TRUE,FALSE,FALSE,FALSE,1,3,1,8,0,0,0,1,D
10,1,1,3,1,,,,,FALSE,TRUE,TRUE,FALSE,4,3,4,2,0,0,0,0,H
8,3,1,0,1,J,,Q,J,FALSE,FALSE,FALSE,TRUE,4,4,4,1,0,0,0,0,S
10,3,1,2,0,QQJ,,,JJ,TRUE,TRUE,FALSE,TRUE,1,4,6,2,0,0,0,0,H
12,1,2,3,0,,Q,Q,,TRUE,TRUE,FALSE,FALSE,4,1,5,3,0,0,0,0,S
9,1,1,0,2,,,J,Q,FALSE,FALSE,TRUE,TRUE,4,4,0,5,0,0,0,0,S
10,2,1,1,1,,J,,J,FALSE,TRUE,FALSE,TRUE,5,1,4,3,0,0,0,0,C
7,1,2,0,2,,JQ,,Q,TRUE,FALSE,TRUE,TRUE,4,2,3,4,0,0,0,0,S
10,1,2,1,1,,,,Q,TRUE,TRUE,FALSE,FALSE,6,1,4,2,0,0,0,0,S
10,2,0,1,2,K,,J,J,FALSE,FALSE,TRUE,TRUE,6,3,3,1,0,0,0,1,H
10,0,1,2,3,,,,J,FALSE,TRUE,TRUE,FALSE,3,3,1,6,0,0,0,0,S
8,0,1,3,1,,J,,,TRUE,TRUE,FALSE,FALSE,3,5,3,2,0,0,0,0,S
11,0,2,2,1,JJJ,,KQ,Q,TRUE,TRUE,FALSE,FALSE,3,5,1,4,0,1,0,0,D
7,1,3,2,0,J,,,,TRUE,TRUE,FALSE,FALSE,3,2,3,5,0,0,1,0,H
7,1,3,2,0,J,,,,TRUE,TRUE,FALSE,FALSE,3,6,3,1,0,0,1,0,C
10,1,1,3,1,J,J,K,JJ,FALSE,TRUE,FALSE,TRUE,3,1,7,2,0,1,0,0,H
10,1,1,3,1,J,J,K,JJ,FALSE,TRUE,FALSE,TRUE,3,1,7,2,0,1,0,0,H
9,1,2,2,2,,,,,TRUE,TRUE,TRUE,FALSE,3,4,3,3,0,0,0,0,S
10,2,1,2,1,,Q,,J,FALSE,TRUE,FALSE,TRUE,4,2,4,3,1,0,0,0,S
8,1,1,1,2,,,Q,J,TRUE,FALSE,TRUE,FALSE,1,1,5,6,0,0,0,0,H
5,0,1,2,3,,,,,FALSE,TRUE,TRUE,FALSE,1,2,5,5,0,0,0,0,H
8,2,2,1,1,Q,,,,TRUE,FALSE,FALSE,TRUE,3,0,3,7,0,0,0,0,S
9,2,2,1,1,Q,,,,TRUE,FALSE,FALSE,TRUE,8,1,2,2,0,0,0,0,C
11,2,1,2,1,,,J,,FALSE,TRUE,TRUE,TRUE,4,2,4,3,0,0,0,0,H
